Fecha;Último;Apertura;Máximo;Mínimo;Vol.;% var.
1052022;2636,02;2728,62;2963,5;2588,99;4,02M;-0,0334
24042022;2727,1;2931,49;3032,35;2715,95;3,45M;-0,0699
17042022;2931,94;3061,34;3176,64;2887,77;2,98M;-0,0415
10042022;3058,82;3259,73;3305,97;2951,78;2,83M;-0,0617
3042022;3260;3446;3579,96;3143,57;3,43M;-0,053
27032022;3442,29;3144,5;3529,92;3126,39;3,24M;0,0942
20032022;3146,08;2950,91;3192,73;2819,29;3,38M;0,0666
13032022;2949,67;2567,87;2984;2494,59;8,97B;0,1478
6032022;2569,8;2665,15;2772,09;2447,74;9,41B;-0,0359
27022022;2665,42;2779,56;3041,47;2563;2,80B;-0,04
20022022;2776,37;2764,39;2856,11;2302,82;5,13M;0,0046
13022022;2763,76;2915,72;3193,04;2700,13;2,87M;-0,0525
6022022;2916,88;3016,8;3276,46;2858,57;3,06M;-0,0321
30012022;3013,48;2600,91;3058,84;2478,7;3,33M;0,1589
23012022;2600,33;2412,75;2719,55;2161,68;4,59M;0,0779
16012022;2412,48;3326,25;3387,99;2314,3;3,53M;-0,2751
9012022;3328,08;3080,01;3407,33;2932,51;2,44M;0,0807
2012022;3079,66;3765,75;3888,86;3001,63;2,91M;-0,1821
26122021;3765,36;4095,72;4125,11;3588,14;1,85M;-0,08
19122021;4092,69;3959;4148,85;3757,35;2,15M;0,0336
12122021;3959,77;4089,38;4173,15;3648,77;3,06M;-0,0283
5122021;4075,23;4123,56;4482,76;3837,15;3,74M;-0,0104
28112021;4118,06;4094,97;4778;3561,06;3,85M;0,006
21112021;4093,56;4412,18;4549,18;3916,62;3,69M;-0,0713
14112021;4408;4644,94;4770,01;3958,35;3,22M;-0,0509
7112021;4644,58;4516,46;4864,13;4502,38;2,70M;0,0282
31102021;4517,27;4327,99;4661,14;4158,07;2,73M;0,0453
24102021;4321,56;4171,99;4459,04;3895,91;3,49M;0,0366
17102021;4168,78;3829,47;4365,7;3666,11;3,36M;0,089
10102021;3828,25;3573,89;3967,73;3382,58;3,36M;0,0711
3102021;3574,23;3390,74;3668,14;3272,33;3,15M;0,0549
26092021;3388,26;2923,34;3468,3;2739,59;3,95M;0,1596
19092021;2921,91;3435,6;3455,36;2662,5;5,22M;-0,1497
12092021;3436,22;3261,32;3672,93;3117,75;3,13M;0,0517
5092021;3267,27;3886,77;3979;3029,27;4,65M;-0,159
29082021;3885;3244,64;4025,06;3145,69;4,48M;0,1976
22082021;3244,01;3224,07;3375,02;3055,01;3,36M;0,0062
15082021;3223,91;3264,56;3334,22;2951,04;217,79K;-0,0125
8082021;3264,69;3158,3;3328,38;2899,24;209,06K;0,0338
1082021;3158;2530,94;3169,74;2445,49;237,24K;0,2488
25072021;2528,85;2176,17;2552,09;2108,72;267,84K;0,1756
18072021;2151,19;1898,35;2166,87;1719,48;267,63K;0,1326
11072021;1899,28;2110,69;2172,8;1849,44;231,59K;-0,1001
4072021;2110,48;2325,37;2396,83;2049,32;395,81K;-0,0507
27062021;2223,15;1830,73;2242,8;1826,9;648,81K;0,2143
20062021;1830,86;2164,72;2164,72;1765,13;962,69K;-0,1545
13062021;2165,4;2369,7;2583,29;2165,4;359,33K;-0,0858
6062021;2368,74;2628,13;2775,62;2290,57;546,66K;-0,0989
30052021;2628,85;2279,18;2829,02;2279,18;1,08M;0,1539
23052021;2278,15;2294,41;2846,07;2014,34;3,24M;-0,0066
16052021;2293,37;3645,65;3831,95;2293,37;3,23M;-0,3708
9052021;3645,15;3907,53;4352,11;3645,15;843,92K;-0,0671
2052021;3907,53;2944,09;3907,53;2912,03;631,15K;0,3272
25042021;2944,09;2215,03;2944,09;2215,03;717,14K;0,3309
18042021;2212,13;2316,56;2583,38;2124,61;1,78M;-0,0448
11042021;2315,96;2126,89;2464,58;2126,89;594,40K;0,0896
4042021;2125,43;2007,82;2169,46;1996,2;135,71K;0,0585
28032021;2007,98;1711,85;2118,75;1703,03;143,26K;0,173
21032021;1711,84;1805,54;1805,54;1558,99;148,65K;-0,0517
14032021;1805,25;1922,48;1922,48;1725,16;173,63K;-0,0608
7032021;1922,1;1652,04;1922,1;1652,04;265,63K;0,1655
28022021;1649,23;1457,94;1649,23;1353,89;383,93K;0,131
21022021;1458,2;1915,74;1956,64;1444,13;458,06K;-0,2388
14022021;1915,74;1815,05;2012,66;1765,68;91,13K;0,0557
7022021;1814,61;1677,7;1849,83;1575,94;170,92K;0,082
31012021;1677,06;1375,97;1735,11;1315,52;219,85K;0,2188
24012021;1375,95;1233,22;1415,69;1233,22;416,83K;0,1157
17012021;1233,22;1228,5;1389,97;1110,07;770,39K;0,0038
10012021;1228,51;1333,96;1339,14;984,99;908,71K;0,0219
3012021;1202,23;774,56;1202,23;774,56;487,22K;0,5522
27122020;774,55;636,67;779,01;636,67;1,05M;0,217
20122020;636,44;658,28;658,28;575,67;987,64K;-0,0332
13122020;658,28;568;665,4;565,22;1,54M;0,1592
6122020;567,9;596,44;603,27;541,28;1,65M;-0,0479
29112020;596,44;536,19;617,68;536,19;1,50M;0,1092
22112020;537,74;552,59;617,89;501,45;1,97M;-0,0263
15112020;552,23;461,19;552,23;443,72;2,24M;0,1962
8112020;461,67;435,05;463,25;435,05;1,57M;0,0612
1112020;435,05;386,36;462,24;380,83;2,45M;0,1256
25102020;386,52;412,16;412,16;382,74;2,22M;-0,0622
18102020;412,17;368,4;416,94;368,4;2,48M;0,1185
11102020;368,51;370,68;385,07;365,71;2,29M;-0,0058
4102020;370,68;345,9;373,49;337,42;1,77M;0,0716
27092020;345,9;353,95;367,63;339,15;2,16M;-0,0228
20092020;353,96;385,15;385,15;324,67;2,17M;-0,081
13092020;385,17;387,84;392,6;359,88;2,98M;-0,0073
6092020;388,01;335,18;388,01;327,61;3,34M;0,1579
30082020;335,11;399;472,18;335,11;3,57M;-0,1601
23082020;399;395,28;406,3;381,42;2,47M;0,0094
16082020;395,3;432,21;432,21;386,55;2,41M;-0,0851
9082020;432,09;396,61;442,44;374,26;2,97M;0,089
2082020;396,78;387,05;400,83;360,24;3,61M;0,0253
26072020;386,99;305,16;386,99;300,83;3,61M;0,2681
19072020;305,18;235,72;305,18;233,85;2,39M;0,2947
12072020;235,72;239,15;244,79;230,5;1,30M;-0,0143
5072020;239,13;229,1;247,14;223,83;1,67M;0,0438
28062020;229,1;220,98;232,13;218,05;1,44M;0,0367
21062020;220,98;228,8;249,05;216,65;1,90M;-0,0342
14062020;228,8;238,12;238,49;218,74;1,79M;-0,0391
7062020;238,1;241,93;249,81;226,55;1,97M;-0,0162
31052020;242,03;243,65;253,5;225,99;4,67M;-0,0064
24052020;243,6;206,62;246,74;197;5,35M;0,1792
17052020;206,58;200,47;216,95;192,05;6,21M;0,0301
10052020;200,54;210,05;210,05;176,43;5,58M;-0,0452
3052020;210,05;214,08;218,88;195,01;7,23M;-0,0179
26042020;213,88;194;227,04;190,16;8,47M;0,1011
19042020;194,24;187,53;197,94;167,18;10,41M;0,0362
12042020;187,45;158,29;189,38;148,67;9,81M;0,1843
5042020;158,29;144,13;176,07;140,85;11,35M;0,0989
29032020;144,05;130,95;149,41;124;8,00M;0,1005
22032020;130,89;132,52;143,23;120,08;10,06M;-0,0139
15032020;132,74;122,51;151,93;101,3;12,81M;0,0828
8032020;122,58;237,23;237,23;91,52;11,58M;-0,4832
1032020;237,21;217,46;251,63;212,79;7,58M;0,091
23022020;217,43;261,53;276,99;210,25;9,43M;-0,1689
16022020;261,63;264,97;285,62;237,67;6,52M;-0,0122
9022020;264,85;223,07;288,1;216,74;5,24M;0,1868
2022020;223,15;183,61;227,65;179,31;3,89M;0,2153
26012020;183,62;160,18;186,94;159,47;2,77M;0,1446
19012020;160,43;174,19;177,94;155,78;2,56M;-0,079
12012020;174,19;142,47;179,45;141,85;4,14M;0,2221
5012020;142,53;134,19;147,92;134,19;3,73M;0,0623
